trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
258,False,"{'a': 0.6, 'e': 0.07479631572685264}",25,9,-14.475497660506678,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
259,False,"{'a': 0.6, 'e': 0.07404835256958411}",30,4,43.405494668672866,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.6, 'e': 0.07330786904388827}",20,3,-7.907547664511725,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
261,False,"{'a': 0.6, 'e': 0.07257479035344938}",30,10,-11.840849606369543,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
262,False,"{'a': 0.6, 'e': 0.07184904244991488}",20,8,16.434132226560045,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.6, 'e': 0.07113055202541574}",25,6,24.66340082601011,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
264,False,"{'a': 0.6, 'e': 0.07041924650516158}",20,13,12.23346446783789,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.6, 'e': 0.06971505404010997}",20,0,34.17451153703394,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.6, 'e': 0.06901790349970886}",25,17,14.766037572760958,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.6, 'e': 0.06832772446471178}",30,12,-14.194351973550852,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
268,False,"{'a': 0.6, 'e': 0.06764444722006466}",20,6,30.505837664528073,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.6, 'e': 0.066968002747864}",25,13,23.61358648953418,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.6, 'e': 0.06629832272038537}",25,7,21.250259169048803,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
271,False,"{'a': 0.6, 'e': 0.06563533949318151}",20,0,12.715386827903288,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
272,False,"{'a': 0.6, 'e': 0.06497898609824969}",20,10,-34.57458497002629,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
273,False,"{'a': 0.6, 'e': 0.0643291962372672}",25,10,26.854622082646095,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.6, 'e': 0.06368590427489453}",20,10,20.0732768363496,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.6, 'e': 0.06304904523214558}",20,0,33.090038659177615,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
276,False,"{'a': 0.6, 'e': 0.06241855477982412}",25,7,26.586426793052247,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
277,False,"{'a': 0.6, 'e': 0.06179436923202588}",25,12,-59.940781780592694,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
278,False,"{'a': 0.6, 'e': 0.06117642553970562}",25,2,12.593864319543679,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
279,False,"{'a': 0.6, 'e': 0.06056466128430856}",25,11,3.470275753772433,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
280,False,"{'a': 0.6, 'e': 0.05995901467146548}",20,0,30.79374661076615,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.6, 'e': 0.05935942452475082}",30,0,33.02914367780336,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
282,False,"{'a': 0.6, 'e': 0.058765830279503314}",25,1,14.696270097115773,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
283,False,"{'a': 0.6, 'e': 0.05817817197670828}",30,13,21.421019768740564,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
284,False,"{'a': 0.6, 'e': 0.057596390256941195}",30,14,28.95929690162578,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.6, 'e': 0.05702042635437178}",30,12,29.636121632424878,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.6, 'e': 0.05645022209082806}",25,10,-12.774600277968126,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
287,False,"{'a': 0.6, 'e': 0.05588571986991978}",20,10,20.108795961897346,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.6, 'e': 0.055326862671220584}",35,18,32.34552544115295,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.6, 'e': 0.05477359404450838}",20,12,14.926605409841237,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.6, 'e': 0.054225858104063294}",25,11,26.085142422198388,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.6, 'e': 0.05368359952302266}",25,6,32.45447083824545,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.6, 'e': 0.053146763527792434}",20,13,15.881898342726863,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.6, 'e': 0.052615295892514506}",20,6,-12.994989066897816,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
294,False,"{'a': 0.6, 'e': 0.052089142933589364}",25,18,14.50927659670287,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.6, 'e': 0.05156825150425347}",20,3,28.76604489445292,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.6, 'e': 0.051052568989210935}",25,9,-9.836604759396018,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
297,False,"{'a': 0.6, 'e': 0.05054204329931883}",30,6,26.639463401232142,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
298,False,"{'a': 0.6, 'e': 0.05003662286632564}",25,0,10.36427611213452,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
299,False,"{'a': 0.6, 'e': 0.04953625663766238}",25,18,17.126942609217807,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.6, 'e': 0.04904089407128576}",30,12,24.803906303284382,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.6, 'e': 0.0485504851305729}",30,8,39.024752150142305,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.6, 'e': 0.048064980279267165}",25,17,14.163662996374121,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.6, 'e': 0.04758433047647449}",25,16,17.38298797088052,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.6, 'e': 0.04710848717170975}",25,11,-15.34726334260679,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
305,False,"{'a': 0.6, 'e': 0.04663740229999265}",20,14,13.456947056190767,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.6, 'e': 0.04617102827699272}",25,16,15.767612613040711,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.6, 'e': 0.045709317994222794}",30,8,30.077643467316747,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.6, 'e': 0.04525222481428057}",25,2,-4.6300855707034625,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
309,False,"{'a': 0.6, 'e': 0.04479970256613776}",30,6,40.91828497211572,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.6, 'e': 0.04435170554047638}",20,6,22.563378056264533,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.6, 'e': 0.043908188485071616}",20,12,16.71554914563267,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.6, 'e': 0.0434691066002209}",35,19,30.220295794798854,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.6, 'e': 0.04303441553421869}",20,0,21.059350784383682,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
314,False,"{'a': 0.6, 'e': 0.0426040713788765}",20,0,30.8471308013339,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
315,False,"{'a': 0.6, 'e': 0.04217803066508773}",25,9,-16.869100825319958,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
316,False,"{'a': 0.6, 'e': 0.04175625035843686}",30,16,26.60607093910322,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.6, 'e': 0.041338687854852486}",20,14,11.785009648863612,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.6, 'e': 0.04092530097630396}",25,0,6.847577309686052,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
319,False,"{'a': 0.6, 'e': 0.040516047966540916}",20,10,16.001552764918763,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.6, 'e': 0.04011088748687551}",25,0,15.71199359554632,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
321,False,"{'a': 0.6, 'e': 0.03970977861200675}",30,17,12.215301592156832,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
